id,fecha,producto,unidades,precio,subtotal,tasa_iva,iva,total,departamento
1,23/5/19,Limpieza,8,340,2720,0%,0,2720,Canelones
2,14/4/19,Alimentos,7,308,2156,10%,215.6,2371.6,Florida
3,16/4/19,Bebidas,4,297,1188,22%,261.36,1449.36,Cerro Largo
4,29/4/19,Bebidas,7,419,2933,0%,0,2933,Artigas
5,1/2/20,Higiene,3,327,981,10%,98.1,1079.1,Durazno
6,28/9/19,Limpieza,6,396,2376,22%,522.72,2898.72,Flores
7,10/1/19,Limpieza,9,426,3834,22%,843.48,4677.48,Florida
8,18/5/20,Alimentos,5,86,430,10%,43,473,Lavalleja
9,26/9/20,Limpieza,7,348,2436,0%,0,2436,Maldonado
10,18/5/19,Higiene,6,406,2436,0%,0,2436,Cerro Largo
11,13/1/19,Otros,8,366,2928,22%,644.16,3572.16,Rocha
12,27/7/19,Otros,7,408,2856,0%,0,2856,Salto
13,25/8/20,Limpieza,7,119,833,10%,83.3,916.3,Río Negro
14,1/6/19,Higiene,7,335,2345,22%,515.9,2860.9,Colonia
15,3/9/20,Otros,9,312,2808,10%,280.8,3088.8,Cerro Largo
16,23/8/20,Otros,9,95,855,22%,188.1,1043.1,Montevideo
17,31/1/19,Limpieza,10,184,1840,22%,404.8,2244.8,Flores
18,17/8/19,Otros,7,62,434,0%,0,434,Salto
19,12/6/19,Otros,3,125,375,10%,37.5,412.5,Rocha
20,28/5/19,Limpieza,5,73,365,10%,36.5,401.5,Rocha
21,10/4/20,Alimentos,9,61,549,10%,54.9,603.9,Durazno
22,11/4/19,Limpieza,3,480,1440,0%,0,1440,Río Negro
23,29/3/19,Bebidas,3,281,843,0%,0,843,Rivera
24,10/7/20,Otros,2,107,214,10%,21.4,235.4,Durazno
25,15/11/19,Alimentos,2,303,606,10%,60.6,666.6,Rivera
26,23/1/20,Otros,7,54,378,10%,37.8,415.8,Río Negro
27,19/7/20,Otros,1,352,352,10%,35.2,387.2,Rivera
28,31/1/20,Bebidas,1,35,35,0%,0,35,Rivera
29,24/6/19,Alimentos,5,321,1605,22%,353.1,1958.1,Lavalleja
30,15/1/19,Higiene,2,45,90,22%,19.8,109.8,Cerro Largo
31,20/8/20,Limpieza,6,88,528,10%,52.8,580.8,Colonia
32,26/6/20,Limpieza,2,245,490,0%,0,490,Durazno
33,6/2/19,Higiene,1,238,238,10%,23.8,261.8,Cerro Largo
34,15/10/19,Otros,1,105,105,10%,10.5,115.5,Soriano
35,9/1/19,Limpieza,9,268,2412,10%,241.2,2653.2,Paysandú
36,24/8/19,Otros,6,25,150,10%,15,165,Paysandú
37,24/8/19,Alimentos,9,76,684,22%,150.48,834.48,Maldonado
38,1/5/20,Bebidas,3,157,471,0%,0,471,Rocha
39,5/3/20,Limpieza,5,143,715,10%,71.5,786.5,Salto
40,17/2/19,Otros,5,453,2265,10%,226.5,2491.5,Río Negro
41,21/9/20,Limpieza,7,308,2156,22%,474.32,2630.32,Flores
42,29/4/19,Alimentos,5,260,1300,0%,0,1300,Florida
43,1/8/20,Higiene,2,155,310,0%,0,310,Paysandú
44,31/10/19,Bebidas,3,150,450,10%,45,495,Durazno
45,25/1/20,Higiene,4,461,1844,0%,0,1844,Canelones
46,26/5/19,Higiene,4,320,1280,22%,281.6,1561.6,Florida
47,12/7/19,Bebidas,6,160,960,10%,96,1056,Durazno
48,18/4/20,Bebidas,6,25,150,0%,0,150,Rocha
49,24/2/19,Otros,3,216,648,10%,64.8,712.8,Canelones
50,17/1/19,Bebidas,2,288,576,0%,0,576,Canelones
51,7/8/19,Limpieza,4,494,1976,22%,434.72,2410.72,Cerro Largo
52,27/12/19,Limpieza,7,452,3164,10%,316.4,3480.4,Lavalleja
53,2/7/19,Bebidas,3,211,633,22%,139.26,772.26,San José
54,17/8/20,Bebidas,9,161,1449,10%,144.9,1593.9,Cerro Largo
55,20/3/20,Bebidas,5,429,2145,10%,214.5,2359.5,Cerro Largo
56,4/2/20,Alimentos,7,141,987,0%,0,987,Tacuarembó
57,26/6/20,Otros,7,347,2429,22%,534.38,2963.38,Salto
58,21/1/19,Otros,9,176,1584,22%,348.48,1932.48,Florida
59,16/1/19,Higiene,7,272,1904,22%,418.88,2322.88,Lavalleja
60,5/11/19,Alimentos,3,23,69,22%,15.18,84.18,Florida
61,5/10/19,Bebidas,10,370,3700,22%,814,4514,Tacuarembó
62,22/9/19,Higiene,5,191,955,10%,95.5,1050.5,Artigas
63,13/8/20,Bebidas,6,407,2442,22%,537.24,2979.24,Salto
64,5/3/19,Limpieza,9,267,2403,22%,528.66,2931.66,Montevideo
65,10/2/20,Higiene,8,423,3384,10%,338.4,3722.4,Soriano
66,1/9/19,Bebidas,8,459,3672,0%,0,3672,Treinta y Tres
67,7/9/20,Bebidas,2,361,722,0%,0,722,Paysandú
68,6/8/19,Alimentos,6,423,2538,10%,253.8,2791.8,Canelones
69,28/11/19,Limpieza,2,281,562,22%,123.64,685.64,Paysandú
70,22/6/20,Limpieza,6,209,1254,0%,0,1254,Flores
71,4/11/19,Bebidas,8,231,1848,10%,184.8,2032.8,Flores
72,12/6/19,Bebidas,1,184,184,22%,40.48,224.48,Flores
73,14/11/19,Alimentos,2,289,578,22%,127.16,705.16,Tacuarembó
74,20/6/20,Limpieza,4,401,1604,0%,0,1604,Río Negro
75,14/2/19,Limpieza,4,164,656,22%,144.32,800.32,Rocha
76,10/5/20,Bebidas,7,314,2198,0%,0,2198,Maldonado
77,10/6/19,Limpieza,9,443,3987,22%,877.14,4864.14,Treinta y Tres
78,2/4/19,Higiene,8,323,2584,0%,0,2584,Durazno
79,8/5/20,Alimentos,4,178,712,22%,156.64,868.64,Florida
80,3/11/19,Otros,7,129,903,0%,0,903,Canelones
81,8/4/20,Higiene,5,77,385,10%,38.5,423.5,Rocha
82,27/6/20,Limpieza,8,324,2592,0%,0,2592,Tacuarembó
83,7/4/19,Alimentos,3,344,1032,0%,0,1032,Artigas
84,16/3/19,Otros,7,64,448,0%,0,448,Tacuarembó
85,7/1/20,Higiene,10,152,1520,10%,152,1672,Canelones
86,20/5/20,Bebidas,6,73,438,0%,0,438,Maldonado
87,22/8/20,Limpieza,5,310,1550,10%,155,1705,Montevideo
88,10/7/20,Otros,5,67,335,0%,0,335,Paysandú
89,18/8/19,Higiene,8,95,760,10%,76,836,Durazno
90,21/6/19,Bebidas,10,34,340,0%,0,340,Rivera
91,16/8/19,Alimentos,10,226,2260,10%,226,2486,Río Negro
92,15/4/19,Limpieza,5,485,2425,10%,242.5,2667.5,Durazno
93,8/1/20,Limpieza,1,407,407,0%,0,407,Flores
94,24/8/19,Higiene,8,179,1432,10%,143.2,1575.2,Artigas
95,27/7/20,Higiene,5,350,1750,22%,385,2135,Florida
96,30/6/20,Alimentos,6,389,2334,10%,233.4,2567.4,Soriano
97,19/2/19,Bebidas,10,189,1890,0%,0,1890,Lavalleja
98,26/9/19,Limpieza,6,131,786,0%,0,786,Río Negro
99,5/9/19,Limpieza,7,386,2702,10%,270.2,2972.2,Soriano
100,1/5/20,Limpieza,7,163,1141,22%,251.02,1392.02,Río Negro
101,19/3/20,Limpieza,10,422,4220,0%,0,4220,Río Negro
102,2/1/20,Limpieza,4,33,132,10%,13.2,145.2,Cerro Largo
103,9/1/20,Bebidas,1,271,271,22%,59.62,330.62,Rivera
104,1/7/20,Limpieza,3,263,789,22%,173.58,962.58,Salto
105,19/8/19,Limpieza,2,344,688,10%,68.8,756.8,Montevideo
106,8/7/19,Higiene,6,216,1296,22%,285.12,1581.12,Salto
107,24/12/19,Alimentos,1,195,195,10%,19.5,214.5,Cerro Largo
108,15/1/19,Higiene,10,441,4410,0%,0,4410,Maldonado
109,2/4/20,Otros,9,142,1278,10%,127.8,1405.8,Cerro Largo
110,23/2/20,Alimentos,7,110,770,10%,77,847,Salto
111,6/6/20,Bebidas,6,200,1200,22%,264,1464,Florida
112,28/1/20,Otros,5,367,1835,22%,403.7,2238.7,Durazno
113,2/2/20,Higiene,7,334,2338,0%,0,2338,Durazno
114,6/8/19,Alimentos,6,485,2910,22%,640.2,3550.2,Canelones
115,4/1/20,Higiene,2,318,636,22%,139.92,775.92,Cerro Largo
116,13/2/19,Limpieza,3,332,996,10%,99.6,1095.6,Lavalleja
117,20/10/19,Higiene,8,250,2000,22%,440,2440,Maldonado
118,30/5/20,Otros,1,411,411,22%,90.42,501.42,Río Negro
119,23/11/19,Bebidas,1,44,44,10%,4.4,48.4,Treinta y Tres
120,19/2/20,Otros,7,385,2695,10%,269.5,2964.5,Artigas
121,14/8/19,Limpieza,5,107,535,10%,53.5,588.5,Lavalleja
122,23/5/20,Limpieza,8,309,2472,10%,247.2,2719.2,Flores
123,8/7/19,Otros,7,460,3220,22%,708.4,3928.4,Paysandú
124,12/1/19,Otros,2,372,744,10%,74.4,818.4,Maldonado
125,28/9/19,Higiene,3,320,960,22%,211.2,1171.2,Cerro Largo
126,29/8/20,Bebidas,3,476,1428,22%,314.16,1742.16,Montevideo
127,8/1/19,Limpieza,9,291,2619,10%,261.9,2880.9,Montevideo
128,24/3/20,Limpieza,4,405,1620,0%,0,1620,Rocha
129,25/4/20,Otros,3,228,684,22%,150.48,834.48,Flores
130,24/6/19,Higiene,6,357,2142,0%,0,2142,Tacuarembó
131,24/3/19,Bebidas,8,251,2008,0%,0,2008,Soriano
132,12/3/19,Alimentos,10,55,550,0%,0,550,Montevideo
133,23/9/20,Otros,6,455,2730,0%,0,2730,Paysandú
134,23/4/19,Bebidas,9,432,3888,10%,388.8,4276.8,Maldonado
135,25/2/20,Higiene,10,429,4290,0%,0,4290,Salto
136,8/9/19,Alimentos,8,412,3296,0%,0,3296,Treinta y Tres
137,8/8/19,Limpieza,1,67,67,10%,6.7,73.7,Paysandú
